crossing,commune,region,by,type,year,month,value
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,entry,2021,enero,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,entry,2021,enero,136
Aeropuerto Araucania,Temuco,La Araucanía,air,entry,2021,enero,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,entry,2021,enero,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,entry,2021,enero,12
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,entry,2021,enero,12
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,entry,2021,enero,4
Aeropuerto Iquique,Iquique,Tarapacá,air,entry,2021,enero,465
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,entry,2021,enero,52
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,entry,2021,enero,"100,217"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,entry,2021,enero,21
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,entry,2021,enero,"7,902"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,entry,2021,enero,"3,203"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,entry,2021,enero,18
Huemules/Balmaceda/,Coyhaique,Aysén,land,entry,2021,enero,542
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,entry,2021,enero,"1,138"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,entry,2021,enero,"2,158"
Paso De Chile Chico,Chile Chico,Aysén,land,entry,2021,enero,87
Paso Jama,San Pedro de Atacama,Antofagasta,land,entry,2021,enero,505
Paso Los Libertadores,Los Andes,Valparaíso,land,entry,2021,enero,"11,223"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,entry,2021,enero,"12,036"
Paso Pehuenche,Curicó,Maule,land,entry,2021,enero,47
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,entry,2021,enero,"1,324"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,entry,2021,enero,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,entry,2021,enero,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,entry,2021,enero,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,entry,2021,enero,"10,894"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,entry,2021,enero,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,entry,2021,enero,703
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,entry,2021,enero,0
Caleta Patillos,Iquique,Tarapacá,sea,entry,2021,enero,0
Puerto Angamos,Mejillones,Antofagasta,sea,entry,2021,enero,47
Puerto Antofagasta,Antofagasta,Antofagasta,sea,entry,2021,enero,30
Puerto Arica,Arica,Arica y Parinacota,sea,entry,2021,enero,225
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,entry,2021,enero,68
Puerto Calbuco,Calbuco,Los Lagos,sea,entry,2021,enero,20
Puerto Caldera - Copiapo,Caldera,Atacama,sea,entry,2021,enero,84
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,entry,2021,enero,0
Puerto Coloso,Antofagasta,Antofagasta,sea,entry,2021,enero,0
Puerto Coquimbo,Coquimbo,Coquimbo,sea,entry,2021,enero,0
Puerto Coronel,Coronel,Bío Bío,sea,entry,2021,enero,17
Puerto De Corral,Corral,Los Ríos,sea,entry,2021,enero,0
Puerto Iquique,Iquique,Tarapacá,sea,entry,2021,enero,22
Puerto Lirquen,Penco,Bío Bío,sea,entry,2021,enero,152
Puerto Mejillones,Mejillones,Antofagasta,sea,entry,2021,enero,66
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,entry,2021,enero,0
Puerto Penco,Penco,Bío Bío,sea,entry,2021,enero,0
Puerto Quintero,Quintero,Valparaíso,sea,entry,2021,enero,0
Puerto San Antonio,San Antonio,Valparaíso,sea,entry,2021,enero,811
Puerto San Vicente,Talcahuano,Biobío,sea,entry,2021,enero,192
Puerto Talcahuano,Talcahuano,Biobío,sea,entry,2021,enero,363
Puerto Tocopilla,Tocopilla,Antofagasta,sea,entry,2021,enero,0
Puerto Valdivia,Valdivia,Los Ríos,sea,entry,2021,enero,22
Puerto Valparaiso,Valparaíso,Valparaíso,sea,entry,2021,enero,235
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,entry,2021,enero,0
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,entry,2021,enero,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,entry,2021,enero,281
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,exit,2021,enero,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,exit,2021,enero,363
Aeropuerto Araucania,Temuco,La Araucanía,air,exit,2021,enero,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,exit,2021,enero,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,exit,2021,enero,8
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,exit,2021,enero,4
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,exit,2021,enero,0
Aeropuerto Iquique,Iquique,Tarapacá,air,exit,2021,enero,444
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,exit,2021,enero,12
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,enero,"99,030"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,enero,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021,enero,"6,255"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021,enero,"3,292"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021,enero,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021,enero,472
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021,enero,"1,780"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021,enero,"2,817"
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021,enero,79
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021,enero,320
Paso Los Libertadores,Los Andes,Valparaíso,land,exit,2021,enero,"9,042"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,exit,2021,enero,"11,256"
Paso Pehuenche,Curicó,Maule,land,exit,2021,enero,73
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,exit,2021,enero,"1,282"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,exit,2021,enero,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,exit,2021,enero,1
Paso San Francisco - Copiapo,Copiapó,Atacama,land,exit,2021,enero,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,exit,2021,enero,"10,518"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,exit,2021,enero,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,exit,2021,enero,661
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,exit,2021,enero,0
Caleta Patillos,Iquique,Tarapacá,sea,exit,2021,enero,20
Puerto Angamos,Mejillones,Antofagasta,sea,exit,2021,enero,19
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021,enero,0
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021,enero,114
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021,enero,51
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021,enero,21
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021,enero,141
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021,enero,12
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021,enero,40
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021,enero,0
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021,enero,0
Puerto De Corral,Corral,Los Ríos,sea,exit,2021,enero,44
Puerto Iquique,Iquique,Tarapacá,sea,exit,2021,enero,0
Puerto Lirquen,Penco,Bío Bío,sea,exit,2021,enero,80
Puerto Mejillones,Mejillones,Antofagasta,sea,exit,2021,enero,0
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,exit,2021,enero,0
Puerto Penco,Penco,Bío Bío,sea,exit,2021,enero,0
Puerto Quintero,Quintero,Valparaíso,sea,exit,2021,enero,24
Puerto San Antonio,San Antonio,Valparaíso,sea,exit,2021,enero,691
Puerto San Vicente,Talcahuano,Biobío,sea,exit,2021,enero,291
Puerto Talcahuano,Talcahuano,Biobío,sea,exit,2021,enero,112
Puerto Tocopilla,Tocopilla,Antofagasta,sea,exit,2021,enero,0
Puerto Valdivia,Valdivia,Los Ríos,sea,exit,2021,enero,4
Puerto Valparaiso,Valparaíso,Valparaíso,sea,exit,2021,enero,203
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,exit,2021,enero,3
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,exit,2021,enero,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,exit,2021,enero,135
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,entry,2021,febrero,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,entry,2021,febrero,327
Aeropuerto Araucania,Temuco,La Araucanía,air,entry,2021,febrero,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,entry,2021,febrero,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,entry,2021,febrero,4
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,entry,2021,febrero,26
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,entry,2021,febrero,2
Aeropuerto Iquique,Iquique,Tarapacá,air,entry,2021,febrero,228
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,entry,2021,febrero,44
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,entry,2021,febrero,"93,252"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,entry,2021,febrero,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,entry,2021,febrero,"6,581"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,entry,2021,febrero,"3,245"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,entry,2021,febrero,4
Huemules/Balmaceda/,Coyhaique,Aysén,land,entry,2021,febrero,549
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,entry,2021,febrero,"1,230"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,entry,2021,febrero,"2,166"
Paso De Chile Chico,Chile Chico,Aysén,land,entry,2021,febrero,52
Paso Jama,San Pedro de Atacama,Antofagasta,land,entry,2021,febrero,0
Paso Los Libertadores,Los Andes,Valparaíso,land,entry,2021,febrero,"11,113"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,entry,2021,febrero,"13,168"
Paso Pehuenche,Curicó,Maule,land,entry,2021,febrero,29
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,entry,2021,febrero,"1,926"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,entry,2021,febrero,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,entry,2021,febrero,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,entry,2021,febrero,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,entry,2021,febrero,"9,143"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,entry,2021,febrero,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,entry,2021,febrero,761
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,entry,2021,febrero,0
Caleta Patillos,Iquique,Tarapacá,sea,entry,2021,febrero,42
Puerto Angamos,Mejillones,Antofagasta,sea,entry,2021,febrero,235
Puerto Antofagasta,Antofagasta,Antofagasta,sea,entry,2021,febrero,41
Puerto Arica,Arica,Arica y Parinacota,sea,entry,2021,febrero,169
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,entry,2021,febrero,87
Puerto Calbuco,Calbuco,Los Lagos,sea,entry,2021,febrero,77
Puerto Caldera - Copiapo,Caldera,Atacama,sea,entry,2021,febrero,0
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,entry,2021,febrero,0
Puerto Coloso,Antofagasta,Antofagasta,sea,entry,2021,febrero,20
Puerto Coquimbo,Coquimbo,Coquimbo,sea,entry,2021,febrero,63
Puerto Coronel,Coronel,Bío Bío,sea,entry,2021,febrero,0
Puerto De Corral,Corral,Los Ríos,sea,entry,2021,febrero,21
Puerto Iquique,Iquique,Tarapacá,sea,entry,2021,febrero,229
Puerto Lirquen,Penco,Bío Bío,sea,entry,2021,febrero,17
Puerto Mejillones,Mejillones,Antofagasta,sea,entry,2021,febrero,86
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,entry,2021,febrero,44
Puerto Penco,Penco,Bío Bío,sea,entry,2021,febrero,18
Puerto Quintero,Quintero,Valparaíso,sea,entry,2021,febrero,0
Puerto San Antonio,San Antonio,Valparaíso,sea,entry,2021,febrero,910
Puerto San Vicente,Talcahuano,Biobío,sea,entry,2021,febrero,160
Puerto Talcahuano,Talcahuano,Biobío,sea,entry,2021,febrero,106
Puerto Tocopilla,Tocopilla,Antofagasta,sea,entry,2021,febrero,38
Puerto Valdivia,Valdivia,Los Ríos,sea,entry,2021,febrero,1
Puerto Valparaiso,Valparaíso,Valparaíso,sea,entry,2021,febrero,207
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,entry,2021,febrero,1
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,entry,2021,febrero,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,entry,2021,febrero,393
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,exit,2021,febrero,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,exit,2021,febrero,208
Aeropuerto Araucania,Temuco,La Araucanía,air,exit,2021,febrero,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,exit,2021,febrero,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,exit,2021,febrero,16
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,exit,2021,febrero,20
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,exit,2021,febrero,8
Aeropuerto Iquique,Iquique,Tarapacá,air,exit,2021,febrero,322
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,exit,2021,febrero,0
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,febrero,"81,538"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,febrero,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021,febrero,"6,022"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021,febrero,"3,226"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021,febrero,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021,febrero,474
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021,febrero,"1,635"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021,febrero,"2,173"
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021,febrero,48
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021,febrero,0
Paso Los Libertadores,Los Andes,Valparaíso,land,exit,2021,febrero,"11,125"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,exit,2021,febrero,"10,474"
Paso Pehuenche,Curicó,Maule,land,exit,2021,febrero,118
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,exit,2021,febrero,"1,647"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,exit,2021,febrero,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,exit,2021,febrero,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,exit,2021,febrero,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,exit,2021,febrero,"11,740"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,exit,2021,febrero,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,exit,2021,febrero,749
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,exit,2021,febrero,0
Caleta Patillos,Iquique,Tarapacá,sea,exit,2021,febrero,157
Puerto Angamos,Mejillones,Antofagasta,sea,exit,2021,febrero,96
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021,febrero,33
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021,febrero,28
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021,febrero,42
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021,febrero,22
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021,febrero,0
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021,febrero,0
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021,febrero,43
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021,febrero,100
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021,febrero,0
Puerto De Corral,Corral,Los Ríos,sea,exit,2021,febrero,21
Puerto Iquique,Iquique,Tarapacá,sea,exit,2021,febrero,0
Puerto Lirquen,Penco,Bío Bío,sea,exit,2021,febrero,117
Puerto Mejillones,Mejillones,Antofagasta,sea,exit,2021,febrero,129
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,exit,2021,febrero,11
Puerto Penco,Penco,Bío Bío,sea,exit,2021,febrero,0
Puerto Quintero,Quintero,Valparaíso,sea,exit,2021,febrero,0
Puerto San Antonio,San Antonio,Valparaíso,sea,exit,2021,febrero,684
Puerto San Vicente,Talcahuano,Biobío,sea,exit,2021,febrero,306
Puerto Talcahuano,Talcahuano,Biobío,sea,exit,2021,febrero,129
Puerto Tocopilla,Tocopilla,Antofagasta,sea,exit,2021,febrero,102
Puerto Valdivia,Valdivia,Los Ríos,sea,exit,2021,febrero,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,exit,2021,febrero,219
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,exit,2021,febrero,1
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,exit,2021,febrero,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,exit,2021,febrero,114
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,entry,2021,marzo,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,entry,2021,marzo,415
Aeropuerto Araucania,Temuco,La Araucanía,air,entry,2021,marzo,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,entry,2021,marzo,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,entry,2021,marzo,0
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,entry,2021,marzo,8
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,entry,2021,marzo,0
Aeropuerto Iquique,Iquique,Tarapacá,air,entry,2021,marzo,375
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,entry,2021,marzo,3
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,entry,2021,marzo,"86,448"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,entry,2021,marzo,2
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,entry,2021,marzo,"7,369"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,entry,2021,marzo,"3,670"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,entry,2021,marzo,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,entry,2021,marzo,646
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,entry,2021,marzo,"1,426"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,entry,2021,marzo,"2,378"
Paso De Chile Chico,Chile Chico,Aysén,land,entry,2021,marzo,34
Paso Jama,San Pedro de Atacama,Antofagasta,land,entry,2021,marzo,0
Paso Los Libertadores,Los Andes,Valparaíso,land,entry,2021,marzo,"5,879"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,entry,2021,marzo,"11,526"
Paso Pehuenche,Curicó,Maule,land,entry,2021,marzo,9
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,entry,2021,marzo,"1,990"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,entry,2021,marzo,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,entry,2021,marzo,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,entry,2021,marzo,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,entry,2021,marzo,"7,708"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,entry,2021,marzo,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,entry,2021,marzo,"1,098"
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,entry,2021,marzo,0
Caleta Patillos,Iquique,Tarapacá,sea,entry,2021,marzo,79
Puerto Angamos,Mejillones,Antofagasta,sea,entry,2021,marzo,100
Puerto Antofagasta,Antofagasta,Antofagasta,sea,entry,2021,marzo,39
Puerto Arica,Arica,Arica y Parinacota,sea,entry,2021,marzo,0
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,entry,2021,marzo,0
Puerto Calbuco,Calbuco,Los Lagos,sea,entry,2021,marzo,42
Puerto Caldera - Copiapo,Caldera,Atacama,sea,entry,2021,marzo,106
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,entry,2021,marzo,0
Puerto Coloso,Antofagasta,Antofagasta,sea,entry,2021,marzo,62
Puerto Coquimbo,Coquimbo,Coquimbo,sea,entry,2021,marzo,128
Puerto Coronel,Coronel,Bío Bío,sea,entry,2021,marzo,175
Puerto De Corral,Corral,Los Ríos,sea,entry,2021,marzo,87
Puerto Iquique,Iquique,Tarapacá,sea,entry,2021,marzo,397
Puerto Lirquen,Penco,Bío Bío,sea,entry,2021,marzo,155
Puerto Mejillones,Mejillones,Antofagasta,sea,entry,2021,marzo,103
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,entry,2021,marzo,22
Puerto Penco,Penco,Bío Bío,sea,entry,2021,marzo,0
