crossing,commune,region,by,type,year,month,value
Puerto Quintero,Quintero,Valparaíso,sea,entry,2021,marzo,22
Puerto San Antonio,San Antonio,Valparaíso,sea,entry,2021,marzo,973
Puerto San Vicente,Talcahuano,Biobío,sea,entry,2021,marzo,179
Puerto Talcahuano,Talcahuano,Biobío,sea,entry,2021,marzo,152
Puerto Tocopilla,Tocopilla,Antofagasta,sea,entry,2021,marzo,0
Puerto Valdivia,Valdivia,Los Ríos,sea,entry,2021,marzo,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,entry,2021,marzo,452
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,entry,2021,marzo,0
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,entry,2021,marzo,22
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,entry,2021,marzo,324
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,exit,2021,marzo,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,exit,2021,marzo,205
Aeropuerto Araucania,Temuco,La Araucanía,air,exit,2021,marzo,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,exit,2021,marzo,2
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,exit,2021,marzo,15
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,exit,2021,marzo,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,exit,2021,marzo,0
Aeropuerto Iquique,Iquique,Tarapacá,air,exit,2021,marzo,423
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,exit,2021,marzo,8
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,marzo,"74,186"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,marzo,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021,marzo,"6,008"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021,marzo,"3,554"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021,marzo,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021,marzo,563
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021,marzo,"1,875"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021,marzo,1
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021,marzo,37
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021,marzo,0
Paso Los Libertadores,Los Andes,Valparaíso,land,exit,2021,marzo,"5,178"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,exit,2021,marzo,"9,394"
Paso Pehuenche,Curicó,Maule,land,exit,2021,marzo,77
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,exit,2021,marzo,"2,016"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,exit,2021,marzo,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,exit,2021,marzo,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,exit,2021,marzo,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,exit,2021,marzo,"9,550"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,exit,2021,marzo,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,exit,2021,marzo,"1,002"
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,exit,2021,marzo,0
Caleta Patillos,Iquique,Tarapacá,sea,exit,2021,marzo,140
Puerto Angamos,Mejillones,Antofagasta,sea,exit,2021,marzo,54
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021,marzo,91
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021,marzo,39
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021,marzo,22
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021,marzo,0
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021,marzo,65
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021,marzo,0
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021,marzo,40
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021,marzo,126
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021,marzo,182
Puerto De Corral,Corral,Los Ríos,sea,exit,2021,marzo,45
Puerto Iquique,Iquique,Tarapacá,sea,exit,2021,marzo,215
Puerto Lirquen,Penco,Bío Bío,sea,exit,2021,marzo,190
Puerto Mejillones,Mejillones,Antofagasta,sea,exit,2021,marzo,371
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,exit,2021,marzo,0
Puerto Penco,Penco,Bío Bío,sea,exit,2021,marzo,21
Puerto Quintero,Quintero,Valparaíso,sea,exit,2021,marzo,0
Puerto San Antonio,San Antonio,Valparaíso,sea,exit,2021,marzo,838
Puerto San Vicente,Talcahuano,Biobío,sea,exit,2021,marzo,509
Puerto Talcahuano,Talcahuano,Biobío,sea,exit,2021,marzo,181
Puerto Tocopilla,Tocopilla,Antofagasta,sea,exit,2021,marzo,36
Puerto Valdivia,Valdivia,Los Ríos,sea,exit,2021,marzo,13
Puerto Valparaiso,Valparaíso,Valparaíso,sea,exit,2021,marzo,704
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,exit,2021,marzo,16
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,exit,2021,marzo,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,exit,2021,marzo,104
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,entry,2021,abril,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,entry,2021,abril,4
Aeropuerto Araucania,Temuco,La Araucanía,air,entry,2021,abril,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,entry,2021,abril,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,entry,2021,abril,2
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,entry,2021,abril,9
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,entry,2021,abril,0
Aeropuerto Iquique,Iquique,Tarapacá,air,entry,2021,abril,223
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,entry,2021,abril,54
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,entry,2021,abril,"21,919"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,entry,2021,abril,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,entry,2021,abril,"6,796"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,entry,2021,abril,"3,410"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,entry,2021,abril,2
Huemules/Balmaceda/,Coyhaique,Aysén,land,entry,2021,abril,409
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,entry,2021,abril,858
Paso Colchane - Pisiga,Colchane,Tarapacá,land,entry,2021,abril,"1,775"
Paso De Chile Chico,Chile Chico,Aysén,land,entry,2021,abril,29
Paso Jama,San Pedro de Atacama,Antofagasta,land,entry,2021,abril,0
Paso Los Libertadores,Los Andes,Valparaíso,land,entry,2021,abril,"7,209"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,entry,2021,abril,"6,768"
Paso Pehuenche,Curicó,Maule,land,entry,2021,abril,11
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,entry,2021,abril,"1,316"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,entry,2021,abril,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,entry,2021,abril,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,entry,2021,abril,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,entry,2021,abril,"4,807"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,entry,2021,abril,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,entry,2021,abril,748
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,entry,2021,abril,0
Caleta Patillos,Iquique,Tarapacá,sea,entry,2021,abril,141
Puerto Angamos,Mejillones,Antofagasta,sea,entry,2021,abril,92
Puerto Antofagasta,Antofagasta,Antofagasta,sea,entry,2021,abril,61
Puerto Arica,Arica,Arica y Parinacota,sea,entry,2021,abril,189
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,entry,2021,abril,41
Puerto Calbuco,Calbuco,Los Lagos,sea,entry,2021,abril,88
Puerto Caldera - Copiapo,Caldera,Atacama,sea,entry,2021,abril,65
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,entry,2021,abril,0
Puerto Coloso,Antofagasta,Antofagasta,sea,entry,2021,abril,21
Puerto Coquimbo,Coquimbo,Coquimbo,sea,entry,2021,abril,37
Puerto Coronel,Coronel,Bío Bío,sea,entry,2021,abril,222
Puerto De Corral,Corral,Los Ríos,sea,entry,2021,abril,0
Puerto Iquique,Iquique,Tarapacá,sea,entry,2021,abril,303
Puerto Lirquen,Penco,Bío Bío,sea,entry,2021,abril,274
Puerto Mejillones,Mejillones,Antofagasta,sea,entry,2021,abril,370
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,entry,2021,abril,22
Puerto Penco,Penco,Bío Bío,sea,entry,2021,abril,18
Puerto Quintero,Quintero,Valparaíso,sea,entry,2021,abril,0
Puerto San Antonio,San Antonio,Valparaíso,sea,entry,2021,abril,844
Puerto San Vicente,Talcahuano,Biobío,sea,entry,2021,abril,368
Puerto Talcahuano,Talcahuano,Biobío,sea,entry,2021,abril,114
Puerto Tocopilla,Tocopilla,Antofagasta,sea,entry,2021,abril,99
Puerto Valdivia,Valdivia,Los Ríos,sea,entry,2021,abril,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,entry,2021,abril,101
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,entry,2021,abril,0
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,entry,2021,abril,20
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,entry,2021,abril,50
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,exit,2021,abril,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,exit,2021,abril,1
Aeropuerto Araucania,Temuco,La Araucanía,air,exit,2021,abril,3
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,exit,2021,abril,7
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,exit,2021,abril,18
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,exit,2021,abril,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,exit,2021,abril,0
Aeropuerto Iquique,Iquique,Tarapacá,air,exit,2021,abril,253
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,exit,2021,abril,26
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,abril,"24,389"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,abril,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021,abril,"6,783"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021,abril,"3,507"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021,abril,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021,abril,380
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021,abril,"1,197"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021,abril,"2,173"
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021,abril,26
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021,abril,0
Paso Los Libertadores,Los Andes,Valparaíso,land,exit,2021,abril,"6,911"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,exit,2021,abril,"5,858"
Paso Pehuenche,Curicó,Maule,land,exit,2021,abril,145
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,exit,2021,abril,"1,232"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,exit,2021,abril,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,exit,2021,abril,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,exit,2021,abril,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,exit,2021,abril,"5,113"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,exit,2021,abril,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,exit,2021,abril,676
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,exit,2021,abril,0
Caleta Patillos,Iquique,Tarapacá,sea,exit,2021,abril,208
Puerto Angamos,Mejillones,Antofagasta,sea,exit,2021,abril,0
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021,abril,11
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021,abril,47
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021,abril,21
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021,abril,61
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021,abril,62
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021,abril,0
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021,abril,40
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021,abril,42
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021,abril,248
Puerto De Corral,Corral,Los Ríos,sea,exit,2021,abril,0
Puerto Iquique,Iquique,Tarapacá,sea,exit,2021,abril,184
Puerto Lirquen,Penco,Bío Bío,sea,exit,2021,abril,117
Puerto Mejillones,Mejillones,Antofagasta,sea,exit,2021,abril,180
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,exit,2021,abril,44
Puerto Penco,Penco,Bío Bío,sea,exit,2021,abril,0
Puerto Quintero,Quintero,Valparaíso,sea,exit,2021,abril,0
Puerto San Antonio,San Antonio,Valparaíso,sea,exit,2021,abril,927
Puerto San Vicente,Talcahuano,Biobío,sea,exit,2021,abril,530
Puerto Talcahuano,Talcahuano,Biobío,sea,exit,2021,abril,40
Puerto Tocopilla,Tocopilla,Antofagasta,sea,exit,2021,abril,42
Puerto Valdivia,Valdivia,Los Ríos,sea,exit,2021,abril,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,exit,2021,abril,262
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,exit,2021,abril,2
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,exit,2021,abril,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,exit,2021,abril,18
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,entry,2021,mayo,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,entry,2021,mayo,19
Aeropuerto Araucania,Temuco,La Araucanía,air,entry,2021,mayo,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,entry,2021,mayo,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,entry,2021,mayo,7
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,entry,2021,mayo,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,entry,2021,mayo,0
Aeropuerto Iquique,Iquique,Tarapacá,air,entry,2021,mayo,94
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,entry,2021,mayo,0
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,entry,2021,mayo,"16,022"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,entry,2021,mayo,3
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,entry,2021,mayo,"6,888"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,entry,2021,mayo,"2,777"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,entry,2021,mayo,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,entry,2021,mayo,428
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,entry,2021,mayo,"1,207"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,entry,2021,mayo,"2,128"
Paso De Chile Chico,Chile Chico,Aysén,land,entry,2021,mayo,12
Paso Jama,San Pedro de Atacama,Antofagasta,land,entry,2021,mayo,0
Paso Los Libertadores,Los Andes,Valparaíso,land,entry,2021,mayo,"19,710"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,entry,2021,mayo,"5,283"
Paso Pehuenche,Curicó,Maule,land,entry,2021,mayo,3
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,entry,2021,mayo,"1,496"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,entry,2021,mayo,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,entry,2021,mayo,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,entry,2021,mayo,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,entry,2021,mayo,"3,975"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,entry,2021,mayo,4
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,entry,2021,mayo,789
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,entry,2021,mayo,0
Caleta Patillos,Iquique,Tarapacá,sea,entry,2021,mayo,319
Puerto Angamos,Mejillones,Antofagasta,sea,entry,2021,mayo,80
Puerto Antofagasta,Antofagasta,Antofagasta,sea,entry,2021,mayo,0
Puerto Arica,Arica,Arica y Parinacota,sea,entry,2021,mayo,102
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,entry,2021,mayo,41
Puerto Calbuco,Calbuco,Los Lagos,sea,entry,2021,mayo,42
Puerto Caldera - Copiapo,Caldera,Atacama,sea,entry,2021,mayo,147
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,entry,2021,mayo,0
Puerto Coloso,Antofagasta,Antofagasta,sea,entry,2021,mayo,20
Puerto Coquimbo,Coquimbo,Coquimbo,sea,entry,2021,mayo,41
Puerto Coronel,Coronel,Bío Bío,sea,entry,2021,mayo,264
Puerto De Corral,Corral,Los Ríos,sea,entry,2021,mayo,63
Puerto Iquique,Iquique,Tarapacá,sea,entry,2021,mayo,499
Puerto Lirquen,Penco,Bío Bío,sea,entry,2021,mayo,158
Puerto Mejillones,Mejillones,Antofagasta,sea,entry,2021,mayo,148
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,entry,2021,mayo,57
Puerto Penco,Penco,Bío Bío,sea,entry,2021,mayo,0
Puerto Quintero,Quintero,Valparaíso,sea,entry,2021,mayo,23
Puerto San Antonio,San Antonio,Valparaíso,sea,entry,2021,mayo,751
Puerto San Vicente,Talcahuano,Biobío,sea,entry,2021,mayo,86
Puerto Talcahuano,Talcahuano,Biobío,sea,entry,2021,mayo,231
Puerto Tocopilla,Tocopilla,Antofagasta,sea,entry,2021,mayo,0
Puerto Valdivia,Valdivia,Los Ríos,sea,entry,2021,mayo,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,entry,2021,mayo,333
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,entry,2021,mayo,0
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,entry,2021,mayo,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,entry,2021,mayo,106
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,exit,2021,mayo,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,exit,2021,mayo,3
Aeropuerto Araucania,Temuco,La Araucanía,air,exit,2021,mayo,2
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,exit,2021,mayo,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,exit,2021,mayo,2
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,exit,2021,mayo,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,exit,2021,mayo,0
Aeropuerto Iquique,Iquique,Tarapacá,air,exit,2021,mayo,152
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,exit,2021,mayo,20
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,mayo,"21,518"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,mayo,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021,mayo,"6,312"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021,mayo,"2,589"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021,mayo,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021,mayo,354
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021,mayo,"1,398"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021,mayo,"2,658"
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021,mayo,13
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021,mayo,0
Paso Los Libertadores,Los Andes,Valparaíso,land,exit,2021,mayo,"18,340"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,exit,2021,mayo,"5,506"
Paso Pehuenche,Curicó,Maule,land,exit,2021,mayo,78
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,exit,2021,mayo,"1,590"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,exit,2021,mayo,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,exit,2021,mayo,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,exit,2021,mayo,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,exit,2021,mayo,"4,047"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,exit,2021,mayo,4
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,exit,2021,mayo,640
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,exit,2021,mayo,0
Caleta Patillos,Iquique,Tarapacá,sea,exit,2021,mayo,130
Puerto Angamos,Mejillones,Antofagasta,sea,exit,2021,mayo,41
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021,mayo,0
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021,mayo,147
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021,mayo,21
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021,mayo,21
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021,mayo,122
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021,mayo,0
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021,mayo,0
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021,mayo,19
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021,mayo,255
Puerto De Corral,Corral,Los Ríos,sea,exit,2021,mayo,42
